source	target	weight
DE	US	122
UK	US	95
CA	US	79
DE	UK	64
IT	US	60
ES	US	60
NL	US	58
FR	US	49
JP	US	49
DE	NL	48
SE	US	43
CH	DE	42
CN	US	40
AU	US	39
CA	UK	39
NL	UK	38
DE	ES	37
CH	US	36
FR	UK	35
CA	DE	35
DE	IT	33
ES	UK	32
FI	US	31
DE	FR	29
AT	DE	29
DE	SE	29
SE	UK	28
IT	UK	25
NO	US	25
AU	UK	22
DE	JP	21
BE	US	21
ES	IT	21
AT	US	20
FI	SE	20
ES	NL	19
BE	NL	19
CH	IT	19
BR	US	18
BE	UK	18
BE	FR	18
KR	US	18
BE	DE	17
ES	FR	17
CA	FR	16
DE	PL	16
CH	ES	16
CH	FR	15
DE	NO	15
JP	UK	15
FI	IT	14
CH	UK	14
CA	NL	14
NL	SE	14
CA	ES	13
AU	DE	13
FR	IT	13
IL	US	13
TW	US	13
ES	JP	12
FI	UK	12
DE	FI	12
CN	JP	11
NO	PT	11
PT	UK	10
NL	NO	10
SG	US	10
AU	ES	10
FR	NL	10
BR	CA	10
DK	UK	10
FI	NO	10
AR	FI	10
IT	NL	10
FI	NL	10
CA	JP	9
BE	IT	9
AT	IT	9
CA	SE	9
DK	SE	9
CH	NL	9
NO	UK	9
DK	US	9
CN	DE	9
AU	CA	9
PL	US	8
NO	SE	8
CA	IT	8
DE	DK	8
FR	SE	8
IN	US	8
DE	RU	8
CN	UK	8
IT	SE	8
AU	FR	8
BE	SE	8
PT	US	7
ES	FI	7
AT	UK	7
AU	IT	7
DE	HU	7
IL	UK	7
BE	ES	7
JP	KR	7
AT	CH	7
AU	SE	7
AT	NL	7
IE	US	7
CA	CN	7
AT	FR	7
PL	UK	6
IT	NO	6
BR	UK	6
DE	IL	6
CH	SE	6
ES	NO	6
TR	US	6
CA	PL	6
CA	CH	6
IT	JP	5
CZ	FR	5
FI	FR	5
CA	IL	5
GR	UK	5
AU	NO	5
AU	NL	5
JP	NL	5
CZ	DE	5
FR	PT	5
PT	SE	5
AT	CA	5
JP	SE	5
CN	DK	5
HU	US	5
GR	IT	5
AU	BE	5
CZ	UK	5
EG	FI	4
JP	TW	4
CZ	JP	4
HU	UK	4
AT	BE	4
FI	JP	4
CH	GR	4
CH	DK	4
CA	FI	4
CO	DE	4
ES	GR	4
NL	PT	4
AT	SE	4
CO	US	4
CN	ES	4
GR	US	4
IE	UK	4
CA	DK	4
AU	SG	4
CH	FI	4
HU	SE	4
AU	PT	4
CA	NO	4
CN	NL	4
CZ	SE	4
SG	UK	4
FR	IL	4
UA	UK	3
CH	CN	3
DK	NO	3
AT	ES	3
BR	DE	3
KR	UK	3
DE	TR	3
DE	HR	3
FR	NO	3
JP	NO	3
BE	CA	3
CN	IT	3
FR	GR	3
CZ	US	3
FI	KR	3
AU	CH	3
DK	FR	3
GR	SE	3
FR	SG	3
DE	SG	3
CH	JP	3
IT	PT	3
DE	IE	3
DE	KR	3
AU	IE	3
CH	HU	3
BR	NL	3
FR	JP	3
GE	US	3
TW	UK	3
CZ	IT	3
ES	PT	3
AU	FI	3
KR	NO	3
DE	GR	3
DE	TW	3
FI	PL	3
IS	SE	3
DK	JP	3
JP	SG	3
CH	IN	3
DK	PT	3
IS	US	3
ES	SE	3
BE	IE	3
IT	PL	3
BE	DK	3
BE	CH	2
CH	PL	2
HK	US	2
DK	ES	2
PL	RU	2
CN	SE	2
BR	FR	2
HU	NL	2
IE	NL	2
AU	CZ	2
BE	GR	2
NL	PL	2
CA	HU	2
BE	CZ	2
SE	SG	2
RU	US	2
AU	PL	2
ES	IL	2
IE	SE	2
CZ	ES	2
KW	UK	2
EG	US	2
HK	UK	2
CZ	HU	2
CH	CZ	2
AR	ES	2
AU	JP	2
IS	NO	2
DE	UA	2
BE	PT	2
IT	TW	2
IT	RU	2
IT	SG	2
CA	KR	2
CZ	FI	2
RU	UK	2
IS	NL	2
AR	CH	2
IL	NL	2
IL	IT	2
IS	IT	2
ES	HU	2
HU	PL	2
CN	HK	2
FR	HU	2
CA	RU	2
IL	SE	2
IT	TR	2
RU	SE	2
LU	US	2
DE	LU	2
AR	IT	2
HU	JP	2
ES	IE	2
CA	TH	2
IS	UK	2
BR	IT	2
CZ	DK	2
AT	IL	2
LU	NO	2
ES	TW	2
HU	IT	2
AR	NO	2
CN	FI	2
AU	IL	2
DE	IN	2
NL	SG	2
KR	SG	2
AU	KR	2
BE	NO	2
AT	DK	2
CN	TW	2
MX	US	2
AU	IS	2
PL	SE	2
NO	SG	2
BE	FI	2
AU	CO	2
AR	US	2
FR	TN	2
TR	UK	2
GE	UA	1
CH	SG	1
SG	TR	1
BE	IS	1
AT	SG	1
BR	PT	1
CO	IN	1
IL	JP	1
IN	UK	1
AU	BR	1
DK	IE	1
DE	TZ	1
DE	SK	1
EC	US	1
AT	IE	1
NO	RU	1
AT	TR	1
GR	NO	1
DE	PT	1
CY	EE	1
BE	BR	1
SA	US	1
IR	US	1
TH	UK	1
IS	LB	1
DK	NL	1
CH	NO	1
BR	KR	1
DE	MX	1
CA	IE	1
BR	CN	1
BG	UK	1
NO	TW	1
FR	KR	1
CN	RO	1
ES	KR	1
IL	SG	1
CN	IN	1
AU	LU	1
CN	FR	1
KR	NL	1
BE	HU	1
CO	SE	1
IN	NL	1
CO	UK	1
DK	PL	1
CH	IE	1
CA	CO	1
CA	CZ	1
CH	TW	1
AT	PT	1
FR	ML	1
CN	NO	1
AR	FR	1
AU	HU	1
BE	IL	1
CZ	IL	1
ES	TR	1
NG	UK	1
GR	HU	1
EE	UK	1
CA	CL	1
CA	ZA	1
AT	AU	1
AR	TR	1
CY	UK	1
CH	TH	1
EC	UK	1
AU	TH	1
CA	HK	1
FR	IE	1
HK	SE	1
FI	HU	1
IS	SG	1
CN	CO	1
KR	TW	1
FR	TW	1
AT	PL	1
LT	SE	1
HR	UK	1
BE	CY	1
CN	PT	1
BE	EE	1
AT	GR	1
DK	IS	1
CO	IT	1
EE	GR	1
FI	RU	1
CA	GE	1
CH	IL	1
HR	SE	1
US	ZA	1
AR	SG	1
CY	GR	1
CA	TW	1
CH	KR	1
FR	IS	1
DK	GR	1
BR	ES	1
FI	SD	1
DE	GE	1
IE	IL	1
ES	PL	1
HK	JP	1
AU	GR	1
CO	CZ	1
CH	RO	1
AR	DE	1
EC	ES	1
CN	CZ	1
FI	IL	1
AT	IR	1
CA	IN	1
CA	PR	1
IT	KR	1
NO	SD	1
DE	ML	1
CN	KR	1
CO	ES	1
BE	SG	1
AU	CN	1
DE	TH	1
AR	EG	1
FR	TR	1
AU	TR	1
AT	SK	1
AU	NZ	1
DE	ZA	1
IS	KR	1
GE	UK	1
AT	JP	1
AU	DK	1
TH	US	1
AU	RU	1
CH	MX	1
DK	HU	1
BR	SE	1
AM	DE	1
CH	LU	1
KR	SE	1
FI	GR	1
EG	ES	1
GR	PT	1
DE	IR	1
IL	TW	1
SG	TW	1
BR	TR	1
AR	SE	1
BY	UK	1
HU	RU	1
IN	JP	1
AR	UK	1
CO	FI	1
IT	LU	1
CH	TR	1
CA	TR	1
LU	UK	1
BR	IL	1
FI	TH	1
CO	JP	1
CZ	GR	1
SD	SE	1
AR	AT	1
NZ	US	1
CZ	NL	1
GR	NL	1
LB	US	1
BE	KR	1
BR	PR	1
ES	UY	1
BR	PL	1
BE	PL	1
DK	HK	1
CH	IR	1
CO	NL	1
BR	SG	1
